customerID,Churn,PhoneService,MultipleLines,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,Months_Paid,Cuentas_Diarias
0750-EKNGL,No,Yes,No,Male,0,No,No,7,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.75,141.1,6.799999999672289,203.99999999016865
0754-EEBDC,No,Yes,No,Male,0,Yes,Yes,4,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,76.65,3.8517587937762943,115.55276381328883
0754-UKWQP,Yes,Yes,No,Male,0,No,No,2,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.85,197.7,2.062597809055163,61.877934271654894
0756-MPZRL,No,No,No phone service,Male,0,No,No,46,DSL,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),33.7,1537.85,45.63353115591592,1369.0059346774776
0757-WCUUZ,No,Yes,Yes,Male,0,Yes,Yes,54,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),63.35,3409.1,53.8137332272484,1614.411996817452
0761-AETCS,Yes,Yes,No,Female,0,No,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.3,19.3,0.9999999999481866,29.999999998445595
0769-MURVM,No,No,No phone service,Female,0,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),65.7,4575.35,69.64003044034034,2089.2009132102103
0771-CHWSK,No,Yes,Yes,Male,0,No,No,66,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),74.6,4798.4,64.32171581683214,1929.6514745049642
0771-WLCLA,No,Yes,Yes,Female,0,Yes,Yes,16,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,112.95,1882.55,16.66710934026855,500.01328020805647
0772-GYEQQ,Yes,Yes,No,Male,0,No,No,3,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,88.35,262.05,2.9660441425810298,88.9813242774309
0774-IFUVM,No,Yes,Yes,Male,0,Yes,Yes,11,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),65.15,723.35,11.102839600750531,333.0851880225159
0774-RMNUW,No,No,No phone service,Female,0,Yes,Yes,71,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),59.7,4122.65,69.05611390169085,2071.6834170507254
0778-NELLA,Yes,No,No phone service,Male,0,No,No,9,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.7,296.1,8.53314121012873,255.99423630386187
0780-XNZFN,No,Yes,No,Male,0,No,No,57,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1125.6,54.50847457363155,1635.2542372089465
0781-LKXBR,Yes,Yes,Yes,Male,1,No,No,9,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,918.6,9.140298507371739,274.20895522115217
0784-GTUUK,No,Yes,Yes,Male,0,Yes,No,62,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.75,1446.8,60.91789473427714,1827.5368420283141
0784-ZQJZX,No,Yes,No,Male,0,No,Yes,72,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.9,1529.65,76.86683416699162,2306.005025009749
0786-IVLAW,No,Yes,Yes,Female,1,No,No,66,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),108.1,7238.6,66.96207215479221,2008.8621646437664
0786-VSSUD,Yes,No,No phone service,Male,1,No,No,16,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,39.0,679.85,17.43205128160431,522.9615384481293
0787-LHDYT,No,Yes,No,Male,0,No,No,16,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.6,330.25,16.03155339728002,480.94660191840063
0788-DXBFY,No,Yes,No,Male,0,Yes,Yes,58,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.55,1108.8,56.716112529068226,1701.4833758720467
0793-TWELN,No,Yes,Yes,Female,0,No,No,4,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.15,319.85,3.9906425451779084,119.71927635533726
0794-YVSGE,No,Yes,No,Male,0,Yes,Yes,72,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,1401.15,69.02216748428462,2070.6650245285387
0795-GMVQO,No,Yes,Yes,Male,0,Yes,No,67,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),109.9,7332.4,66.71883530421547,2001.5650591264643
0795-LAFGP,No,Yes,Yes,Male,0,Yes,Yes,71,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,90.4,6668.05,73.76161504343183,2212.848451302955
0795-XCCTE,No,Yes,Yes,Male,1,No,No,72,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.4,1809.35,71.23425196569944,2137.027558970983
0799-DDIHE,No,Yes,No,Female,0,Yes,Yes,15,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,46.3,639.45,13.811015118492206,414.33045355476617
0804-XBFBV,No,No,No phone service,Female,0,No,Yes,11,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.2,321.05,12.740079364573807,382.20238093721423
0804-YGEQV,No,Yes,Yes,Female,0,Yes,Yes,43,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.45,993.15,40.61963190017916,1218.5889570053748
0807-ZABDG,Yes,Yes,No,Female,0,No,Yes,3,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,55.1,154.65,2.806715063469933,84.201451904098
0810-BDHAW,No,Yes,Yes,Female,0,Yes,Yes,24,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,78.4,1832.4,23.37244897929372,701.1734693788115
0810-DHDBD,No,Yes,Yes,Female,0,No,No,52,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),74.0,3877.65,52.40067567496756,1572.0202702490267
0811-GSDTP,No,No,No phone service,Female,0,No,Yes,13,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.15,382.2,12.676616915002434,380.29850745007303
0812-WUPTB,Yes,Yes,No,Male,1,Yes,No,1,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.85,70.85,0.9999999999858856,29.99999999957657
0813-TAXXS,No,Yes,Yes,Male,0,No,No,55,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),77.8,4323.35,55.570051413167484,1667.1015423950246
0815-MFZGM,No,Yes,No,Female,0,Yes,No,42,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),99.0,4135.0,41.76767676725487,1253.030303017646
0816-TSPHQ,No,Yes,No,Male,0,No,No,2,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.75,44.2,2.1301204818250548,63.90361445475164
0817-HSUSE,No,Yes,No,Male,0,No,No,1,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.5,75.5,0.9999999999867549,29.999999999602647
0818-OCPZO,Yes,Yes,Yes,Male,1,No,No,27,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.45,2122.05,26.05340699783851,781.6022099351553
0820-FNRNX,No,Yes,Yes,Male,0,Yes,Yes,17,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,66.7,1077.05,16.147676161676944,484.43028485030834
0822-GAVAP,Yes,No,No phone service,Female,0,No,No,2,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,34.7,62.25,1.793948126749454,53.818443802483614
0822-QGCXA,No,Yes,Yes,Female,1,Yes,No,27,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,83.85,2310.2,27.55158020241441,826.5474060724323
0823-HSCDJ,Yes,No,No phone service,Male,1,No,No,52,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.15,2550.9,51.90030518714344,1557.0091556143032
0824-VWDPO,No,Yes,Yes,Female,0,No,No,45,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),96.75,4442.75,45.91989664035225,1377.5968992105675
0825-CPPQH,No,Yes,No,Female,0,Yes,No,71,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.1,1372.45,71.85602093864628,2155.6806281593886
0827-ITJPH,No,Yes,No,Male,0,No,No,36,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.55,689.0,37.14285714085483,1114.2857142256448
0829-DDVLK,No,Yes,No,Female,0,No,No,15,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.1,302.45,15.047263680843418,451.4179104253025
0829-XXPLX,No,Yes,No,Female,0,No,No,20,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.4,1871.15,20.930089485224496,627.9026845567349
0831-JNISG,No,Yes,No,Male,0,Yes,Yes,71,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.8,1396.25,70.51767676411527,2115.530302923458
0835-DUUIQ,No,Yes,No,Female,0,No,Yes,24,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),21.05,531.55,25.251781471484474,757.5534441445342
0835-JKADZ,No,Yes,Yes,Female,0,No,No,71,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,111.25,7984.15,71.76764044879309,2153.0292134637925
0836-SEYLU,Yes,No,No phone service,Male,0,Yes,No,9,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,40.65,328.95,8.092250922310155,242.76752766930466
0839-JTCUD,No,Yes,Yes,Female,0,Yes,Yes,66,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.9,5958.85,66.28309232406804,1988.492769722041
0839-QNXME,No,Yes,No,Female,0,No,No,30,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,578.5,29.81958762732889,894.5876288198667
0840-DCNZE,No,Yes,No,Male,0,No,No,47,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),86.95,4138.9,47.60092006845772,1428.0276020537315
0840-DFEZH,No,Yes,Yes,Female,0,No,No,7,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.35,564.65,7.4936960848375085,224.81088254512525
0841-NULXI,Yes,No,No phone service,Male,0,No,No,1,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.55,35.55,0.9999999999718707,29.99999999915612
0842-IWYCP,No,Yes,No,Female,0,No,No,46,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),44.95,2168.9,48.25139043274191,1447.5417129822572
0843-WTBXE,Yes,Yes,Yes,Male,0,No,No,53,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),85.45,4517.25,52.86424809768444,1585.927442930533
0847-HGRML,No,Yes,No,Male,0,No,Yes,62,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.0,1250.1,62.504999996874744,1875.1499999062423
0848-SOMKO,No,No,No phone service,Male,0,No,No,70,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),48.4,3442.8,71.13223140348902,2133.9669421046706
0848-ZGQIJ,No,Yes,No,Female,0,Yes,No,16,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.65,1461.15,15.437400950708533,463.12202852125597
0851-DFJKB,No,Yes,No,Female,0,No,No,15,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,58.95,955.15,16.20271416427137,486.08142492814113
0853-NWIFK,No,Yes,No,Female,0,No,No,45,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,100.3,4483.95,44.705383848008914,1341.1615154402675
0853-TWRVK,No,Yes,Yes,Male,0,Yes,No,72,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),105.6,7581.5,71.7945075750777,2153.835227252331
0854-UYHZD,No,Yes,No,Female,0,Yes,Yes,13,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.55,265.3,13.57033248012428,407.1099744037284
0856-NAOES,No,Yes,No,Male,0,No,No,6,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,60.9,414.1,6.799671592663389,203.99014777990166
0859-YGKFW,No,Yes,No,Male,0,Yes,Yes,18,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.05,345.9,17.251870323329083,517.5561096998725
0862-PRCBS,No,Yes,Yes,Female,0,Yes,Yes,68,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),103.75,7039.45,67.85012048127373,2035.503614438212
0864-FVJNJ,No,Yes,Yes,Female,0,Yes,Yes,64,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,113.35,7222.75,63.72077635585602,1911.6232906756804
0866-QLSIR,Yes,Yes,Yes,Female,0,No,No,34,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,64.4,2088.75,32.434006210676486,973.0201863202946
0867-LDTTC,No,Yes,No,Male,0,No,No,5,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),75.15,392.65,5.224883566131404,156.7465069839421
0867-MKZVY,Yes,Yes,Yes,Female,0,Yes,No,20,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,19.32463592209557,579.7390776628671
0868-VJRDR,No,Yes,No,Male,0,Yes,No,64,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),104.05,6605.55,63.48438250779929,1904.5314752339787
0869-PAPRP,No,Yes,No,Female,1,Yes,No,26,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.7,2067.0,24.119019836358003,723.5705950907401
0870-VEMYL,Yes,Yes,No,Female,0,No,No,5,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),53.85,259.8,4.82451253472935,144.7353760418805
0871-OPBXW,No,Yes,No,Female,0,No,No,2,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.05,39.25,1.9576059849397702,58.728179548193104
0871-URUWO,Yes,Yes,Yes,Male,0,Yes,No,13,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.25,1359.0,13.290953545102289,398.72860635306864
0872-CASZJ,No,Yes,Yes,Male,0,Yes,No,59,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,69.1,4096.9,59.289435599720846,1778.6830679916254
0872-JCPIB,No,Yes,Yes,Male,0,No,No,17,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),65.75,1111.2,16.900380227879843,507.0114068363953
0872-NXJYS,Yes,Yes,No,Female,0,No,No,9,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.55,723.4,9.093651791211895,272.80955373635686
0875-CABNR,Yes,Yes,No,Female,1,No,No,10,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.6,865.55,10.231087470328237,306.9326241098471
0876-WDUUZ,Yes,Yes,No,Female,0,No,No,5,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),85.4,425.9,4.987119437880712,149.61358313642137
0877-SDMBN,Yes,Yes,Yes,Female,0,No,No,54,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.95,5639.05,54.24771524719338,1627.4314574158016
0880-FVFWF,No,Yes,Yes,Male,0,No,No,56,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,86.4,4922.4,56.97222222156281,1709.1666666468843
0880-TKATG,Yes,Yes,Yes,Male,0,Yes,Yes,4,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,385.9,3.81512605038245,114.4537815114735
0883-EIBTI,Yes,Yes,No,Female,0,No,No,2,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.5,31.55,1.6179487178657463,48.53846153597239
0885-HMGPY,No,Yes,Yes,Male,0,No,No,62,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69.4,4237.5,61.059077808918445,1831.7723342675533
0886-QGENL,Yes,Yes,No,Female,1,Yes,No,27,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,2754.45,27.204444444175756,816.1333333252727
0887-HJGAR,Yes,Yes,No,Male,0,No,No,1,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.7,45.7,0.9999999999781183,29.999999999343547
0887-WBJVH,No,Yes,No,Female,0,Yes,No,53,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,93.45,4872.2,52.1369716420317,1564.1091492609512
0895-DQHEW,Yes,Yes,Yes,Male,0,Yes,No,54,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.3,5278.15,50.60546500430867,1518.16395012926
0895-LMRSF,No,Yes,No,Male,0,No,No,23,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),64.9,1509.8,23.263482280072978,697.9044684021893
0895-LNKRC,No,Yes,No,Male,0,Yes,Yes,6,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.45,113.5,5.835475578106146,175.06426734318438
0895-UADGO,No,No,No phone service,Male,0,No,Yes,8,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,44.55,343.45,7.709315375808995,231.27946127426983
0897-FEGMU,Yes,Yes,Yes,Female,0,Yes,No,11,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.5,1056.95,10.622613065219873,318.6783919565962
0898-XCGTF,No,Yes,Yes,Male,0,Yes,No,61,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),96.5,5673.7,58.794818652240465,1763.844559567214
0899-LIIBW,No,Yes,Yes,Male,0,Yes,No,34,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,100.85,3527.3,34.975706494447444,1049.2711948334234
0899-WZRSD,No,Yes,Yes,Male,0,No,No,56,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,105.35,5794.45,55.001898433270036,1650.056952998101
0902-RFHOF,No,Yes,No,Male,0,No,No,38,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.1,730.1,36.32338308276998,1089.7014924830994
0902-XKXPN,No,Yes,No,Male,0,Yes,Yes,69,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.2,1376.5,68.1435643530622,2044.3069305918661
0906-QVPMS,No,Yes,Yes,Male,0,Yes,No,72,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),115.15,8349.45,72.50933564852359,2175.2800694557077
0907-HQNTS,No,Yes,Yes,Female,1,Yes,No,70,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),113.0,7987.6,70.68672566309127,2120.601769892738
0909-SDHNU,No,No,No phone service,Female,0,No,Yes,7,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.8,201.95,6.776845637356481,203.30536912069442
0909-SELIE,No,Yes,Yes,Male,0,Yes,No,61,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),80.8,4860.85,60.159034652720806,1804.771039581624
0913-XWSCN,No,Yes,Yes,Male,0,Yes,Yes,55,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),85.5,4713.4,55.12748537947218,1653.8245613841655
0916-KNFAJ,No,Yes,Yes,Male,0,Yes,No,61,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Mailed check,69.9,4226.7,60.46781115793321,1814.0343347379965
0916-QOFDP,No,Yes,Yes,Female,1,Yes,Yes,14,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.8,1346.3,14.05323590799527,421.5970772398581
0917-EZOLA,Yes,Yes,Yes,Male,1,Yes,No,72,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.15,7689.95,73.8353336526756,2215.060009580268
0921-OHLVP,No,Yes,Yes,Male,0,No,No,22,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,83.05,1799.3,21.665261890166583,649.9578567049975
0923-PNFUB,Yes,Yes,No,Female,0,No,No,3,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,83.75,247.25,2.9522388059348983,88.56716417804695
0924-BJCRC,No,Yes,Yes,Female,1,Yes,No,60,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,89.45,5294.6,59.19060927826506,1775.7182783479518
0925-VYDLG,Yes,Yes,Yes,Female,0,No,No,3,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.25,242.0,3.2159468438110834,96.4784053143325
0927-CNGRH,No,Yes,No,Male,0,No,Yes,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,19.55,0.9999999999488491,29.999999998465473
0927-LCSMG,Yes,Yes,No,Male,0,No,No,7,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,74.65,544.55,7.29470864022378,218.8412592067134
0928-JMXNP,No,No,No phone service,Male,1,Yes,No,4,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,29.9,118.25,3.95484949819549,118.6454849458647
0928-XUTSN,No,Yes,No,Female,0,No,No,13,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.5,1011.8,12.568944099222746,377.0683229766824
0929-HYQEW,No,Yes,No,Male,0,No,No,3,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.15,160.85,3.207377866336842,96.22133599010526
0929-PECLO,No,Yes,Yes,Female,1,No,No,63,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.6,5538.8,61.81696428502437,1854.508928550731
0930-EHUZA,No,Yes,No,Female,0,No,No,36,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,76.35,2606.35,34.13686967866225,1024.1060903598675
0931-MHTEM,No,Yes,No,Female,0,No,No,54,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),100.05,5299.65,52.97001499197431,1589.1004497592294
0932-YIXYU,No,Yes,No,Female,0,No,No,47,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.25,1029.8,50.85432098514299,1525.6296295542897
0936-NQLJU,No,Yes,No,Female,0,Yes,No,41,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.65,875.55,42.399515736445544,1271.9854720933663
0939-EREMR,No,Yes,No,Female,0,No,Yes,13,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,53.45,718.1,13.434985967943218,403.04957903829654
0939-YAPAF,Yes,Yes,Yes,Female,0,No,No,35,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,3527.6,35.18802992483603,1055.640897745081
0940-OUQEC,Yes,Yes,Yes,Male,0,No,No,10,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.7,788.8,9.774473357995358,293.23420073986074
0942-KOWSM,No,Yes,No,Female,0,Yes,Yes,30,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),80.8,2369.3,29.323019801617292,879.6905940485187
0943-ZQPXH,No,Yes,No,Male,0,Yes,Yes,44,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),92.95,4122.9,44.356105432551296,1330.6831629765388
0945-TSONX,No,Yes,Yes,Female,0,Yes,Yes,47,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.3,4107.25,48.15064478255392,1444.5193434766175
0946-CLJTI,Yes,Yes,Yes,Male,1,Yes,No,58,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,5812.6,58.89159067822805,1766.7477203468416
0946-FKYTX,No,No,No phone service,Male,0,No,No,52,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,30.1,1623.4,53.93355481548394,1618.006644464518
0947-IDHRQ,Yes,Yes,No,Female,0,No,No,7,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,80.3,526.7,6.5591531755098496,196.7745952652955
0947-MUGVO,Yes,Yes,No,Male,1,Yes,No,20,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.65,1463.5,19.871011540802836,596.1303462240851
0952-KMEEH,Yes,Yes,Yes,Male,0,No,No,13,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,98.15,1230.25,12.534386143529959,376.0315843058988
0953-LGOVU,No,No,No phone service,Male,0,Yes,Yes,12,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,35.5,432.25,12.176056337685182,365.2816901305555
0956-ACVZC,No,Yes,No,Female,0,No,No,54,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),94.1,5060.9,53.7821466519258,1613.464399557774
0956-SYCWG,No,Yes,No,Female,0,No,No,13,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.65,244.8,12.458015266541578,373.74045799624736
0958-YHXGP,No,Yes,No,Female,0,No,No,7,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.9,497.3,7.114449213059879,213.43347639179635
0959-WHOKV,No,Yes,Yes,Male,0,No,No,42,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,99.0,4298.45,43.418686868248294,1302.5606060474488
0960-HUWBM,No,Yes,Yes,Male,0,Yes,Yes,65,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.1,6700.05,64.36167146912237,1930.8501440736711
0961-ZWLVI,No,Yes,Yes,Male,0,No,Yes,49,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),109.2,5290.45,48.44734432190066,1453.4203296570197
0962-CQPWQ,No,Yes,No,Female,0,Yes,Yes,62,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,1296.15,63.84975369143597,1915.4926107430792
